Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
+14.05371094 +3.38818359 -7.26855469 -173.21044922 +34.49707031 -129.85839844 +1554150043.01869988 +616
+14.04931641 +3.38818359 -7.26855469 -173.21044922 +34.51904297 -129.88037109 +1554150043.02290010 +616
+14.04492188 +3.39697266 -7.26416016 -173.23242188 +34.54101563 -129.90234375 +1554150043.03119993 +612
+14.04052734 +3.40136719 -7.25976563 -173.23242188 +34.56298828 -129.90234375 +1554150043.03539991 +612
+14.04052734 +3.40576172 -7.25976563 -173.25439453 +34.58496094 -129.92431641 +1554150043.03950000 +612
+14.03613281 +3.41015625 -7.25537109 -173.25439453 +34.60693359 -129.92431641 +1554150043.04369998 +612
+14.03173828 +3.41015625 -7.25537109 -173.27636719 +34.62890625 -129.92431641 +1554150043.04789996 +612
+14.03173828 +3.41455078 -7.25097656 -173.29833984 +34.65087891 -129.94628906 +1554150043.05200005 +612
+14.02734375 +3.41894531 -7.25097656 -173.29833984 +34.65087891 -129.94628906 +1554150043.05620003 +612
+14.01855469 +3.42773438 -7.24658203 -173.32031250 +34.69482422 -129.94628906 +1554150043.06450009 +616
+14.01855469 +3.43212891 -7.24658203 -173.34228516 +34.71679688 -129.94628906 +1554150043.06870008 +616
+14.01416016 +3.43652344 -7.24218750 -173.36425781 +34.71679688 -129.94628906 +1554150043.07279992 +616
+14.00976563 +3.44091797 -7.24218750 -173.36425781 +34.73876953 -129.92431641 +1554150043.07699990 +620
+14.00976563 +3.44531250 -7.23779297 -173.36425781 +34.76074219 -129.92431641 +1554150043.08119988 +620
+14.00537109 +3.44531250 -7.23779297 -173.38623047 +34.76074219 -129.90234375 +1554150043.08529997 +624
+14.00097656 +3.44970703 -7.23779297 -173.38623047 +34.78271484 -129.88037109 +1554150043.08949995 +624
+13.99658203 +3.45849609 -7.23779297 -173.40820313 +34.78271484 -129.85839844 +1554150043.09780002 +628
+13.99658203 +3.46289063 -7.23779297 -173.40820313 +34.80468750 -129.83642578 +1554150043.10200000 +628
